date,city,sales,State Sales Tax,Local Sales Tax,City Sales Tax,Salt Lake City Sales TAx,Mass Transit Tax,Transportation Tax,Salt Lake City Sales Tax,State Sales Tax Change,Local Sales Tax Change,City Sales Tax Change,Salt Lake City Sales Tax Change,Mass Transit Tax Change,Transportation Tax Change,Total Sales Change
1998-05,North Salt Lake,9512688.32,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84168498.07
1998-05,Salt Lake City,278821124.0400001,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,267131057.73000008
1998-05,South Salt Lake,68372916.16,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41920238.879999995
1998-05,Taylorsville,36957416.41,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54780989.480000004
1998-05,West Valley City,89319537.7,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82507056.35000001
1998-05,Woods Cross,8764119.89,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-289973764.54
1998-06,Bountiful,25781898.45,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43241060.95999999
1998-06,Murray,90970453.69,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55894905.269999996
1998-06,North Salt Lake,8984968.39,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81420853.14999999
1998-06,Salt Lake City,305511178.82103467,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,294311824.70103467
1998-06,South Salt Lake,76493332.26,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49049887.45
1998-06,Taylorsville,34347737.85,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57038342.9
1998-06,West Valley City,100638774.56206897,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91126086.24206898
1998-06,Woods Cross,11416618.799999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-267404505.24000007
1998-07,Bountiful,27683639.299999997,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40689276.86
1998-07,Murray,106260401.17999999,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69302984.77
1998-07,North Salt Lake,9443556.15,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79875981.55
1998-07,Salt Lake City,307378402.51,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,298614282.62
1998-07,South Salt Lake,77499290.39,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51717391.94
1998-07,Taylorsville,38035796.800000004,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52934656.88999999
1998-07,West Valley City,97019186.8,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88034218.41
1998-07,Woods Cross,16880895.47,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.14999999999999947,0.0,0.0,0.0,0.0,0.0,-288630283.35103464
1998-08,Bountiful,26731177.62,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49762154.64
1998-08,Murray,100529257.03,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66181519.18
1998-08,North Salt Lake,8935860.23,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91702914.33206896
1998-08,Salt Lake City,280341665.52,4.7,1.35,0.0,0.0,0.55,0.25,0.0,-0.14999999999999947,0.0,0.0,0.0,0.0,0.0,268925046.71999997
1998-08,South Salt Lake,73006726.19,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45323086.89
1998-08,Taylorsville,35160583.230000004,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71099817.94999999
1998-08,West Valley City,96936535.72,4.85,1.35,0.0,0.0,0.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87492979.57
